"bbl","irrlotcode","lotarea","lotfront","lotdepth","front_depth_product","pluto_shape_area","geom"
"1007587501.0","N",31818,"125.5","197.5","24786.25","33011.7627571675","0106000020D70800000100000001030000000100000007000000807778846F152E410042C15A02180A4180088E17A7142E41006A929065120A41003FD0FFCC132E41004213C64D140A4100376F8030142E4100B02A0017170A41807AB847B5132E4100E25DD62A180A4100F630351A142E41003AC161FE1A0A41807778846F152E410042C15A02180A41"
"1015240023.0","N",61432,"201","420","84420","63496.3046154995","0106000020D70800000100000001030000000100000008000000004AC1C06C742E410040A20999820B4180D8AF54DD742E4100C6D9BF9F810B418087F1FB3F752E4100C8AB8165840B41002E762990762E4100C6431D7D810B41003CE669C9752E4100988737E77B0B41808A1E00DE722E4100A4AA345E820B4180CEC21842732E4100D094582E850B41004AC1C06C742E410040A20999820B41"
"2042970007.0","N",28078,"149.75","299.75","44887.5625","28077.6714046159","0106000020D7080000010000000103000000010000000B00000000CDB18E66332F41000E602C0E850E4180422380F6322F4100C0ACB330830E410016767237322F41002847A102800E41001777C2DD312F41000A929C0A800E41003156F0C3312F410048CBE965800E41801AAD46C7312F410018B88497820E4180B1623F4B322F4100B0BFD7C9840E4180068AC3A4322F410068134547860E4100D476D2D5322F4100B661CF1B870E4180C4363C6C332F4100C6DB3599890E4100CDB18E66332F41000E602C0E850E41"
"2023870032.0","N",22822,"168.92","168.04","28385.3168","23519.7876687124","0106000020D70800000100000001030000000100000010000000008FA8FA82CE2E4100EA50E3BC690D4180FD080AD2CD2E41002085BBE76A0D41007282C5BECD2E4100C2FB6A316A0D41800322B66FCE2E410090739306690D4100E99D3259CE2E410058D38A31680D410057FE41A8CD2E41008E07635C690D4100018A5B8FCD2E4100FE97C670680D4180578B468ACD2E4100F61DB140680D4100E355FE5ECD2E4100766A3189680D4180FD55CDFCCC2E4100E252B02D690D4100B98D5C82CD2E41005EE8771D6E0D418027D06EE4CD2E4100840BD4776D0D4100673FA90FCE2E41000C65D12E6D0D4180F8DE99C0CE2E4100D630F9036C0D41801EA47995CE2E41000A42E76B6A0D41008FA8FA82CE2E4100EA50E3BC690D41"
"2039040034.0","N",214546,"0","0","0","214545.580649405","0106000020D7080000010000000103000000010000001D0000000081693C6F142F410010B154E0DB0D41800496B7CE122F4100DE07F843D60D4100560694B4132F410088FB48CFD30D4180C45A4E64132F4100FA973731D30D4100C8E6719A122F410042F57483D10D410030544B20122F410070CBA265D00D41800379BC68112F4100649DC290CE0D41800D9B6DC6102F4100A83099C7CC0D41808D83822C102F4100A0AE8EEDCA0D4100A36DC5B90F2F4100D4FA1B70C90D4180724469450F2F4100809679D2C70D4100C084ABC10E2F410028F85EDAC50D41003BAAA0420E2F410020BC1ECCC30D418002871DD90D2F4100D67A5FF5C10D4180EDD563230D2F4100842AFD76BE0D4180C6F8AEC20C2F4100A4A44268BC0D41001AA78B170D2F4100CC3F85BFBB0D41004579D57E0C2F41000250AD8AB80D4180CE2CF2AB0C2F4100A2F5781CB80D4180AE2A45980C2F41009E1200ABB70D4180DB39D6E10B2F410074B9E900B90D418011109E530C2F4100CCCD5A9FBC0D418017D5D6610C2F4100F46FFF83BC0D41807E77880C0D2F41007084427EC20D41809FF8F6860E2F4100F05DF892CE0D41802217E6280F2F41003099DDBFCD0D4100CACDE94D102F4100A44AF7A6D10D41807BF561C4132F4100EA09F397DD0D410081693C6F142F410010B154E0DB0D41"
"2058182040.0","N",39451,"189.67","208","39451.36","35190.7622370954","0106000020D7080000010000000103000000010000000D0000000019AD7DEFDD2E41006AE5EB9930104100B2A0FA1FDE2E410071048D182F1041807897E960DD2E410031B9E5FE2E104180DDE07203DD2E4100017998D82E104100C7EAB704DD2E41002AEE51C72E104180DB0B07EFDC2E4100BB6D90B32E10418023E25146DC2E4100872E77A531104180468CBD59DC2E41004C9FB0B531104100BCBBC5B2DC2E4100F5392CED311041806DC67B0FDD2E4100564BE216321041009058228DDD2E41005D0FF136321041007CF2DCBADD2E4100B4E7323C3210410019AD7DEFDD2E41006AE5EB99301041"
"4013420061.0","N",44127,"200","30","6000","44126.5421234307","0106000020D7080000010000000103000000010000000A00000080C0032F24E22E4100F8EE0C4FA60941004D28AD36E22E4100FE3C3344A6094180EC1B156CE22E4100BCC4E648A5094180ECF5AE8DE22E41000CA5CCAAA4094100024ADBB0E22E4100B60C4B05A409418015CE3D5CE32E4100DA74142DA0094100A2C17321E32E410026D90D349A094180A656BCBBE12E41002C9DD222A0094100A04ABAF8E12E4100A0958C68A6094180C0032F24E22E4100F8EE0C4FA60941"
"4103360012.0","N",116200,"683","268","183044","116777.614447693","0106000020D7080000010000000103000000010000000E00000000E2D4D619EA2F4100A0954CD1C50741009BE88903EA2F41008AC9FEB5C4074100E3B2972CEB2F41004A55BD94BC0741801E93D4F0EB2F4100E4E5D635B7074180883ECED1EC2F41007A87960DB1074180447C6AA9EC2F4100968D3C97B007418062CE76EFEA2F41001C8F5CB8BC074180A65FB0BFE82F4100AA3C3427CC074180FF5116E0E82F41000AA8C8B7CC074100FE78F483E92F4100461D5840CF074100BBE6AEBAE92F4100BC9638F6D3074100BFEA31CAE92F4100B0F25149D50741001737A19EEB2F41003C8F8A1CD9074100E2D4D619EA2F4100A0954CD1C50741"
"4153210230.0","N",86192,"225","675","151875","2131.62915337186","0106000020D7080000030000000103000000010000000700000080A6EEA8BB872F41008EEAA48856034100159AD3B5872F4100C63B40BC55034180E749FA50872F4100E81C09EA550341001F97A15B872F4100C0CF9021560341807B97A377872F4100C062DD5056034100D5BC24B2872F41004C8C208A56034180A6EEA8BB872F41008EEAA4885603410103000000010000000B00000000C5331F0B8E2F4100B0DCCDD856034100B0C1E5048E2F410006D9BDFE5503410049ECF5B58D2F41005E610423560341009B7DA9B98D2F410012EC753A560341806C50E8BA8D2F4100DE9BFFA756034100333F0AB98D2F4100D49CAFF2560341802A366E978D2F410044CC1D045703410063AD927B8D2F4100F01BC71A5703418064B8C5A78D2F4100587D760657034180946072D98D2F4100042DA2EF56034100C5331F0B8E2F4100B0DCCDD85603410103000000010000000700000080A7323F4F882F41004A8EB1A05C0341007234D54B882F41007C0B13295C034180ED6A4546882F4100F292823A5C034100F4349438882F4100F225CF695C0341000F461C31882F410004FBBA7D5C034100A20C3F29882F4100DC7928B25C034180A7323F4F882F41004A8EB1A05C0341"
"5003277501.0","N",43560,"0","0","0","49527.040531309","0106000020D7080000010000000103000000010000001400000080A58D8CD0182D4100CC5609BF3504418013F9F950182D41001262E10133044180E5C87978182D4100A4ABD4983204410086A5AA9F182D410066F09A3032044100B19E69C4182D4100508AE1CE31044100985BB5EC182D4100B243B763310441804FB72513192D41002EDC7CFD3004418062C6EF39192D410010ED539630044180B7B3D361192D4100A0CE3D2C30044100E22C2889192D4100F255A5C32F04418030F0B6AE192D410080F3C25F2F044100145EF0D4192D4100325A1AFA2E044180090C7A501A2D41001CA114A13104410072481B7F1A2D4100540112253104410088ECDC82192D4100080B54912A044100A7C53991182D4100A255F0962C04410046E3B571172D410078F259C9300441007090571C182D41002E94D44B33044100B24A95C9182D4100EC8723D835044180A58D8CD0182D4100CC5609BF350441"
"5007940094.0","N",17014,"94","181","17014","13615.6920188146","0106000020D7080000010000000103000000010000000C000000002BB836BDCF2C410016AD01467F034100BCFD58B5CF2C410016C824027E034100ECDD61EACF2C41003AD126DB7D03410036EAE7E8CF2C41002EE51CA97C034180D8F02C03D02C4100A6AFAA887C034180842AC9F9CF2C41006ED8095679034100DE93B57ACF2C4100264A00797A034180A0586A4DCF2C410064A7B5E07A03410053E3066ACF2C4100B4D4426F7F0341802D800072CF2C41001C639FB7800341807CE30CC5CF2C41006625A888800341002BB836BDCF2C410016AD01467F0341"
